"","Macropygia_unchall","Streptopelia_chinensis","Streptopelia_senegalensis","Columba_hodgsonii","Columba_pulchricollis","Columba_leuconota","Streptopelia_orientalis","Chalcophaps_indica","Treron_curvirostra","Treron_apicauda","Treron_sphenurus","Treron_phoenicopterus","Ducula_badia","Surniculus_lugubris","Hierococcyx_sparverioides","Hierococcyx_varius","Hierococcyx_nisicolor","Cuculus_saturatus","Cuculus_canorus","Cuculus_micropterus","Cuculus_poliocephalus","Chrysococcyx_maculatus","Eudynamys_scolopaceus","Phaenicophaeus_tristis","Ceyx_erithaca","Merops_leschenaulti","Merops_orientalis","Megalaima_haemacephala","Megalaima_asiatica","Megalaima_lineata","Megalaima_zeylanica","Megalaima_franklinii","Megalaima_virens","Picumnus_innominatus","Sasia_ochracea","Blythipicus_pyrrhotis","Chrysocolaptes_lucidus","Micropternus_brachyurus","Picus_flavinucha","Picus_chlorolophus","Picus_squamatus","Picus_canus","Dinopium_shorii","Dinopium_benghalense","Dendrocopos_canicapillus","Dendrocopos_auriceps","Dendrocopos_himalayensis","Dendrocopos_darjellensis","Dendrocopos_macei","Hypopicus_hyperythrus","Dendrocopos_cathpharius","Aceros_undulatus","Aceros_nipalensis","Anthracoceros_albirostris","Ocyceros_birostris","Buceros_bicornis","Harpactes_erythrocephalus","Harpactes_wardi","Strix_nivicola","Glaucidium_radiatum","Glaucidium_cuculoides","Glaucidium_brodiei","Loriculus_vernalis","Psittacula_alexandri","Psittacula_eupatria","Psittacula_krameri","Psittacula_himalayana","Microhierax_caerulescens","Spelaeornis_formosus","Sturnia_malabarica","Acridotheres_tristis","Gracula_religiosa","Enicurus_maculatus","Cinclidium_frontale","Myophonus_caeruleus","Myiomela_leucura","Tarsiger_rufilatus","Tarsiger_hyperythrus","Tarsiger_indicus","Tarsiger_chrysaeus","Ficedula_subrubra","Muscicapa_ruficauda","Ficedula_hyperythra","Ficedula_tricolor","Muscicapella_hodgsoni","Ficedula_strophiata","Ficedula_sapphira","Ficedula_westermanni","Ficedula_superciliaris","Phoenicurus_frontalis","Phoenicurus_coeruleocephala","Monticola_rufiventris","Monticola_cinclorhynchus","Saxicola_ferreus","Luscinia_pectoralis","Hodgsonius_phaenicuroides","Brachypteryx_leucophrys","Brachypteryx_montana","Brachypteryx_hyperythra","Luscinia_brunnea","Ficedula_monileger","Cyornis_unicolor","Cyornis_rubeculoides","Cyornis_poliogenys","Cyornis_tickelliae","Niltava_macgrigoriae","Niltava_sundara","Niltava_grandis","Eumyias_thalassinus","Muscicapa_ferruginea","Muscicapa_sibirica","Muscicapa_dauurica","Copsychus_malabaricus","Copsychus_saularis","Zoothera_citrina","Turdus_rubrocanus","Turdus_albocinctus","Turdus_maximus","Turdus_boulboul","Zoothera_dauma","Zoothera_mollissima","Cochoa_purpurea","Sitta_leucopsis","Sitta_cinnamoventris","Sitta_himalayensis","Sitta_frontalis","Sitta_formosa","Troglodytes_troglodytes","Certhia_himalayana","Certhia_discolor","Certhia_nipalensis","Certhia_familiaris","Orthotomus_sutorius","Prinia_socialis","Prinia_hodgsonii","Prinia_crinigera","Bradypterus_thoracicus","Aegithalos_niveogularis","Aegithalos_iouschistos","Aegithalos_concinnus","Abroscopus_superciliaris","Cettia_brunnescens","Cettia_fortipes","Phyllergates_cucullatus","Tesia_castaneocoronata","Cettia_brunnifrons","Tesia_olivea","Tesia_cyaniventer","Phylloscopus_maculipennis","Phylloscopus_pulcher","Phylloscopus_humei","Phylloscopus_chloronotus","Phylloscopus_tytleri","Phylloscopus_affinis","Phylloscopus_cantator","Phylloscopus_occipitalis","Phylloscopus_reguloides","Phylloscopus_xanthoschistos","Seicercus_castaniceps","Phylloscopus_trochiloides","Phylloscopus_magnirostris","Seicercus_whistleri","Seicercus_affinis","Seicercus_burkii","Seicercus_poliogenys","Grammatoptila_striata","Cutia_nipalensis","Turdoides_striata","Ianthocincla_ocellata","Ianthocincla_rufogularis","Garrulax_pectoralis","Dryonastes_caerulatus","Garrulax_albogularis","Garrulax_leucolophus","Leiothrix_argentauris","Leiothrix_lutea","Actinodura_nipalensis","Actinodura_waldeni","Actinodura_egertoni","Minla_cyanouroptera","Minla_strigula","Minla_ignotincta","Heterophasia_annectans","Liocichla_phoenicea","Heterophasia_pulchella","Heterophasia_capistrata","Heterophasia_picaoides","Trochalopteron_subunicolor","Trochalopteron_imbricatum","Trochalopteron_lineatum","Trochalopteron_squamatum","Trochalopteron_variegatum","Trochalopteron_affine","Trochalopteron_erythrocephalum","Alcippe_nipalensis","Malacocincla_abbotti","Napothera_epilepidota","Pellorneum_ruficeps","Schoeniparus_rufogularis","Schoeniparus_cinerea","Schoeniparus_castaneceps","Stachyridopsis_rufifrons","Stachyridopsis_pyrrhops","Stachyridopsis_ruficeps","Stachyridopsis_chrysaea","Macronous_gularis","Spelaeornis_caudatus","Pomatorhinus_ferruginosus","Pomatorhinus_schisticeps","Xiphirhynchus_superciliaris","Stachyris_nigriceps","Pomatorhinus_erythrogenys","Yuhina_bakeri","Yuhina_flavicollis","Yuhina_occipitalis","Yuhina_gularis","Yuhina_nigrimenta","Zosterops_palpebrosus","Fulvetta_vinipectus","Paradoxornis_fulvifrons","Paradoxornis_nipalensis","Conostoma_oemodium","Paradoxornis_ruficeps","Paradoxornis_gularis","Lioparus_chrysotis","Pnoepyga_albiventer","Pnoepyga_pusilla","Pnoepyga_immaculata","Pycnonotus_striatus","Hemixos_flavala","Hypsipetes_leucocephalus","Hypsipetes_mcclellandi","Alophoixus_flaveolus","Pycnonotus_flaviventris","Pycnonotus_cafer","Pycnonotus_leucogenys","Cephalopyrus_flammiceps","Parus_rufonuchalis","Parus_rubidiventris","Parus_melanolophus","Parus_ater","Parus_dichrous","Parus_monticolus","Parus_major","Parus_spilonotus","Melanochlora_sultanea","Sylviparus_modestus","Culicicapa_ceylonensis","Chelidorhynx_hypoxantha","Irena_puella","Chloropsis_hardwickii","Chloropsis_aurifrons","Passer_rutilans","Petronia_xanthocollis","Emberiza_fucata","Emberiza_cia","Pyrrhula_aurantiaca","Pyrrhula_erythrocephala","Pyrrhula_erythaca","Carpodacus_rubescens","Pyrrhoplectes_epauletta","Callacanthis_burtoni","Carpodacus_nipalensis","Leucosticte_nemoricola","Carpodacus_erythrinus","Haematospiza_sipahi","Carpodacus_thura","Carpodacus_rodochroa","Carpodacus_edwardsii","Mycerobas_icterioides","Mycerobas_affinis","Mycerobas_carnipes","Mycerobas_melanozanthos","Anthus_roseatus","Anthus_hodgsoni","Prunella_collaris","Prunella_strophiata","Dicaeum_agile","Dicaeum_cruentatum","Dicaeum_ignipectus","Dicaeum_minullum","Arachnothera_magna","Cinnyris_asiaticus","Aethopyga_ignicauda","Aethopyga_siparaja","Aethopyga_saturata","Aethopyga_nipalensis","Aethopyga_gouldiae","Regulus_regulus","Erpornis_zantholeuca","Pteruthius_rufiventer","Pteruthius_flaviscapis","Pteruthius_melanotis","Pteruthius_xanthochlorus","Oriolus_kundoo","Oriolus_xanthornus","Oriolus_traillii","Aegithina_tiphia","Tephrodornis_gularis","Tephrodornis_pondicerianus","Hemipus_picatus","Pericrocotus_solaris","Pericrocotus_speciosus","Pericrocotus_brevirostris","Pericrocotus_ethologus","Pericrocotus_cinnamomeus","Coracina_melanoptera","Coracina_melaschistos","Coracina_macei","Dicrurus_caerulescens","Dicrurus_remifer","Dicrurus_paradiseus","Dicrurus_annectans","Dicrurus_hottentottus","Dicrurus_leucophaeus","Dicrurus_macrocercus","Dicrurus_aeneus","Rhipidura_albicollis","Hypothymis_azurea","Terpsiphone_paradisi","Dendrocitta_formosae","Dendrocitta_vagabunda","Urocissa_flavirostris","Urocissa_erythrorhyncha","Nucifraga_caryocatactes","Corvus_japonensis","Corvus_culminatus","Psarisomus_dalhousiae","Pitta_brachyura","Megalaima_australis"
"Macropygia_unchall",0,34.8522367603117,34.8522367603117,34.8522367603117,34.8522367603117,34.8522367603117,34.8522367603117,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349
"Streptopelia_chinensis",34.8522367603117,0,15.1216331014887,29.7255080238502,29.7255080238502,29.7255080238502,29.7255080238502,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349
"Streptopelia_senegalensis",34.8522367603117,15.1216331014887,0,29.7255080238502,29.7255080238502,29.7255080238502,29.7255080238502,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349
"Columba_hodgsonii",34.8522367603117,29.7255080238502,29.7255080238502,0,18.668872883915,23.6176730487059,28.4263146694009,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,52.6157979846025,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,136.510901691802,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349,141.705344368349
